n_layers,n_units_layer_0,activation,dropout,lr,batch_size,anneal_strategy,weight_decay,seed,n_units_layer_1
1,27,leakyrelu,0.08486771095694826,0.0006894850152039934,16,cos,3.016871087896833e-05,0,
2,18,leakyrelu,0.2486349216747309,0.0007694091609837243,16,linear,1.8941266852028336e-05,1,27.0
2,16,relu,0.20014274236623153,0.0007504774018595667,16,linear,7.156670458298398e-05,2,26.0
2,18,relu,0.07339304516149689,0.0008787708372003015,32,linear,0.0011161183377473409,3,32.0
2,27,relu,0.057520610908627326,0.0009999254731408102,16,linear,2.399131695318483e-05,4,22.0
2,24,relu,0.056535941842361645,0.0008922646954509173,32,linear,0.00027474249423426573,5,20.0
2,31,relu,0.16102256888989214,0.0007953150420488808,64,cos,1.597488739675229e-05,6,13.0
2,28,leakyrelu,0.15659630943724817,0.0009876335517336543,16,cos,2.809144332215408e-05,7,14.0
2,31,leakyrelu,0.36512118294351054,0.0005434873969169612,16,cos,0.00013923247959699508,8,17.0
2,18,leakyrelu,0.0936616648145733,0.0005165320191566732,32,linear,9.5081904394419e-05,9,29.0
1,30,relu,0.2926361458229817,0.0006453022878026279,16,cos,3.611765090448134e-05,10,
2,28,relu,0.017212757944744472,0.0004980689586702974,16,linear,4.371628171979595e-05,11,26.0
2,31,leakyrelu,0.14908962398288073,0.0005983179394706288,16,cos,1.266336014403435e-05,12,32.0
2,28,leakyrelu,0.006463241171620181,0.0006148477094060238,64,linear,0.00043978675603537705,13,22.0
2,9,relu,0.0016952197539899239,0.0005720934566320378,16,cos,0.0005111258190849394,14,13.0
2,32,leakyrelu,0.12277050891027377,0.000741856315147778,32,linear,2.164040926890844e-05,15,18.0
2,28,relu,0.019882666060868335,0.0005182813299374778,16,cos,2.9465209947885225e-05,16,31.0
2,27,relu,0.11080846272447722,0.0007325077362818747,16,cos,0.00027071295279751736,17,14.0
2,31,relu,0.03047266937152242,0.0006536919760374535,16,linear,0.0014714476260500942,18,26.0
2,29,tanh,0.20037440157434735,0.0004257156624072654,16,linear,1.792216823967577e-05,19,17.0
2,27,leakyrelu,0.39560589400931456,0.000566055380884146,32,cos,1.1111390957602298e-05,20,23.0
1,28,relu,0.05949879280590356,0.0009929024043713456,16,linear,0.00024774154261158885,21,
2,18,relu,0.06919136021853936,0.000974366555919161,32,cos,1.4535586596652732e-05,22,31.0
2,32,leakyrelu,0.04221435656758118,0.0009693481766349479,16,linear,0.00017519122748089138,23,27.0
2,30,relu,0.0013532006364149404,0.0006917901117385473,32,linear,6.214109351977993e-05,24,24.0
2,26,leakyrelu,0.013629766887026254,0.00036718981879194795,16,linear,1.584376329416622e-05,25,26.0
2,12,leakyrelu,0.0445431720706919,0.0009960333123449374,64,cos,1.3540595933087737e-05,26,23.0
2,21,relu,0.0009555151297709805,0.0008246004143707929,32,linear,1.2644314888905554e-05,27,27.0
2,32,relu,0.10159262934208957,0.0008920980673403113,32,cos,1.8738145488552364e-05,28,20.0
2,26,leakyrelu,0.08722430213933001,0.0008096413636519887,16,cos,2.291400927119603e-05,29,18.0
