seed,auc_roc,auc_pr,xgb__gamma,xgb__learning_rate,xgb__max_depth,xgb__min_child_weight,xgb__n_estimators,xgb__reg_alpha,xgb__reg_lambda
0,0.9818840579710144,0.9287081150994181,0.08435836685019849,0.20994472921043503,3,1,290,0.33396486959680916,4.954200816137025
1,0.9871290545203588,0.9375237779004411,2.720050594069691,0.19724120409122328,5,6,194,0.14469190107322583,1.2415000468251038
2,0.9860593512767426,0.9320860310126341,0.14254285371826436,0.15386034913691127,8,7,249,0.7089911722935779,4.854889868306556
3,0.9883022774327123,0.9303962985756239,0.2862090194976258,0.1815642263138024,4,1,73,0.2135202649884438,5.211281920569357
4,0.9863008971704623,0.9324438718440452,0.19904735062420575,0.053828554095095404,4,7,174,0.2163413761302605,2.9374928250671934
5,0.988336783988958,0.9378847401605341,0.034247092125853085,0.2551818241431303,3,1,80,0.3711945389004616,1.3557855323400716
6,0.9870255348516218,0.9222337356797394,1.5358368667500133,0.13561239304993383,8,2,83,0.11086995687111922,5.418100279725377
7,0.9822291235334714,0.933456129116532,0.15731044955301754,0.0982407471314647,4,3,227,0.27252269272708896,4.761476490543217
8,0.9883022774327123,0.9431796381643297,0.09444746419064065,0.06134544392168392,4,4,124,0.0024227266540681747,4.3320308644555405
9,0.9877846790890269,0.9315875120001956,0.01632161364410134,0.2696483392875263,9,2,254,0.4906717713984936,5.662693006081772
10,0.9853002070393375,0.9291989238044256,0.15342420186473138,0.13693150006037003,5,7,156,0.24988623250360487,2.777906945648521
11,0.9897170462387852,0.938132371628148,0.5617356800997625,0.19298672923533935,3,2,136,0.735666212163048,2.080705728158115
12,0.986783988957902,0.9407530355473073,0.7974942808753743,0.06508845454503216,9,2,100,0.018877589962135177,4.249329926344142
13,0.9845065562456867,0.9163985637832525,0.07244830258454238,0.018000007581507847,2,1,165,0.5570847414846939,4.859151700619089
14,0.9842305037957212,0.9176495765707211,0.1100433873947293,0.1149027327113303,9,5,107,0.08866518178152649,5.671337144580566
15,0.9854727398205659,0.9380086850906151,0.3380132775539241,0.21496925209021012,5,1,61,0.32148162851012185,3.898415579644222
16,0.9819185645272602,0.8983861076737549,0.29884263082788687,0.08977072540120545,7,1,198,0.5675775681169887,1.604933201549252
17,0.9834368530020704,0.928756123343435,0.47490244839059115,0.05465124624857319,4,1,156,0.09237346175186434,4.894709206377023
18,0.9857142857142857,0.9368169259625858,0.6323228436834599,0.1942390557191722,4,1,157,0.514307496714841,1.1840004771227992
19,0.9878881987577639,0.9453929940521902,0.026088532768787642,0.06985616477346669,4,7,151,0.18719649975292785,4.673394686131994
20,0.9889579020013802,0.9411333802936754,0.8470846096099782,0.2899348227118034,7,1,263,0.6682098823700244,4.814504925844333
21,0.9844030365769496,0.9159080173666434,0.14199552131353876,0.14066509899392365,5,4,291,0.05402324792594759,4.9514231200601415
22,0.9808833678398896,0.8835252266373081,1.167302356880739,0.25684126110816435,6,1,134,0.024032110702372433,1.3431719849448407
23,0.9888543823326432,0.9400795043114918,0.7816861427775923,0.08407468153481662,7,1,234,0.854196387858699,4.202816965975517
24,0.9781228433402347,0.8895953202068538,0.05976356570643271,0.17001267314748247,2,2,173,0.2826714246058746,2.189184412328576
25,0.9883022774327123,0.9306005495126396,0.5445608515905853,0.2427997092691933,5,6,218,0.5003368318048608,4.767307527071006
26,0.986783988957902,0.9337864870328203,0.3589972240187189,0.04867946993044726,4,7,280,0.13899265871822442,2.2430321800035187
27,0.9897170462387854,0.9457747446453656,0.9311435675877899,0.1125603135184038,6,1,138,0.3154697863794933,1.463046050698348
28,0.9859558316080056,0.927264801019542,0.12457597199540593,0.19930918917917959,3,1,270,0.11762192058156151,2.5612621487128875
29,0.9888198757763975,0.9362177738759103,0.03527139610836616,0.19703115128956736,6,1,128,0.3075374387292875,5.924596492745338
