row,fecha,region,expected_pattern,reason
2902,2025-07-05 18:00:00,pacifico,nodes_stitch_20250705_18_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
2903,2025-07-27 12:00:00,pacifico,nodes_stitch_20250727_12_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
2904,2025-07-27 18:00:00,pacifico,nodes_stitch_20250727_18_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
2905,2025-07-28 00:00:00,pacifico,nodes_stitch_20250728_00_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
2919,2025-07-31 12:00:00,pacifico,nodes_stitch_20250731_12_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
2920,2025-07-31 18:00:00,pacifico,nodes_stitch_20250731_18_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
2921,2025-08-01 00:00:00,pacifico,nodes_stitch_20250801_00_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
2922,2025-08-01 06:00:00,pacifico,nodes_stitch_20250801_06_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
2925,2025-08-02 00:00:00,pacifico,nodes_stitch_20250802_00_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
2926,2025-08-02 06:00:00,pacifico,nodes_stitch_20250802_06_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
2931,2025-08-03 12:00:00,pacifico,nodes_stitch_20250803_12_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
2932,2025-08-03 18:00:00,pacifico,nodes_stitch_20250803_18_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
2933,2025-08-04 00:00:00,pacifico,nodes_stitch_20250804_00_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
2966,2025-08-14 18:00:00,pacifico,nodes_stitch_20250814_18_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
2967,2025-08-15 00:00:00,pacifico,nodes_stitch_20250815_00_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
2968,2025-08-15 06:00:00,pacifico,nodes_stitch_20250815_06_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
2969,2025-08-15 12:00:00,pacifico,nodes_stitch_20250815_12_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
2970,2025-08-15 18:00:00,pacifico,nodes_stitch_20250815_18_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
2971,2025-08-16 00:00:00,pacifico,nodes_stitch_20250816_00_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
2972,2025-08-16 06:00:00,pacifico,nodes_stitch_20250816_06_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
2973,2025-08-16 12:00:00,pacifico,nodes_stitch_20250816_12_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
2974,2025-08-16 18:00:00,pacifico,nodes_stitch_20250816_18_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
2975,2025-08-17 00:00:00,pacifico,nodes_stitch_20250817_00_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
2976,2025-08-17 06:00:00,pacifico,nodes_stitch_20250817_06_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
2977,2025-08-17 12:00:00,pacifico,nodes_stitch_20250817_12_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
2978,2025-08-17 18:00:00,pacifico,nodes_stitch_20250817_18_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
2979,2025-08-18 00:00:00,pacifico,nodes_stitch_20250818_00_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
2980,2025-08-18 06:00:00,pacifico,nodes_stitch_20250818_06_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
2981,2025-08-18 12:00:00,pacifico,nodes_stitch_20250818_12_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
3114,2025-09-20 18:00:00,pacifico,nodes_stitch_20250920_18_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
3115,2025-09-21 00:00:00,pacifico,nodes_stitch_20250921_00_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
3116,2025-09-21 06:00:00,pacifico,nodes_stitch_20250921_06_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
3117,2025-09-21 12:00:00,pacifico,nodes_stitch_20250921_12_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
3118,2025-09-21 18:00:00,pacifico,nodes_stitch_20250921_18_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
3119,2025-09-22 00:00:00,pacifico,nodes_stitch_20250922_00_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
3120,2025-09-22 06:00:00,pacifico,nodes_stitch_20250922_06_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
3220,2025-10-07 06:00:00,atlantico,nodes_stitch_20251007_06_atlantico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
3221,2025-10-07 06:00:00,pacifico,nodes_stitch_20251007_06_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
3222,2025-10-07 12:00:00,pacifico,nodes_stitch_20251007_12_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
3223,2025-10-07 12:00:00,atlantico,nodes_stitch_20251007_12_atlantico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
3354,2025-10-24 18:00:00,atlantico,nodes_stitch_20251024_18_atlantico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
3355,2025-10-24 18:00:00,pacifico,nodes_stitch_20251024_18_pacifico_[0-9][0-9].txt,No se encontró ningún archivo correspondiente
